,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC)
166,Maruti,2017,550000,20000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197
168,Maruti,2018,700000,7800,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,22.0,1197
169,Maruti,2017,500000,20000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
173,Maruti,2015,290000,60000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
176,Maruti,2018,830000,5000,Petrol,Individual,Automatic,First Owner,5,83.1,kmpl,21.4,1197
178,Maruti,2011,160000,25000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
181,Hyundai,2020,524000,32000,Petrol,Individual,Manual,First Owner,5,81.86,kmpl,20.14,1197
182,Maruti,2015,245000,40000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
186,Maruti,2016,350000,140000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
189,Maruti,2010,250000,110000,Diesel,Individual,Manual,Second Owner,5,73.9,kmpl,21.1,1248
190,Hyundai,2017,1100000,37000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
192,Maruti,2015,640000,80000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
199,Maruti,2013,550000,70000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
201,Hyundai,2009,200000,53000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
202,Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,23.4,1248
206,Maruti,2015,350000,100000,Petrol,Individual,Manual,First Owner,5,83.11,kmpl,20.4,1197
208,Hyundai,2017,800000,39000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
212,Hyundai,2013,530000,92500,Diesel,Individual,Manual,First Owner,5,126.3,kmpl,22.32,1582
213,Maruti,2012,360000,158000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
221,Maruti,2015,525000,20000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197
225,Maruti,2014,375000,80000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
226,Hyundai,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,5,88.73,kmpl,22.54,1396
234,Tata,2012,290000,60000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.02,1248
235,Maruti,2005,110000,45000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
242,Maruti,2016,520000,20000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
248,Maruti,2019,675000,16500,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.01,1197
250,Maruti,2005,90000,99361,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
256,Tata,2018,645000,10000,Petrol,Individual,Automatic,First Owner,5,84.0,kmpl,20.3,1199
264,Maruti,2017,409999,47000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
265,Hyundai,2018,1210000,25000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,21.38,1396
268,Maruti,2016,650000,50000,Petrol,Individual,Automatic,First Owner,5,83.1,kmpl,21.4,1197
271,Maruti,2014,400000,50000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
274,Maruti,2017,351000,36000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
276,Maruti,2011,185000,185000,Diesel,Individual,Manual,Third Owner,5,73.9,kmpl,21.1,1248
280,Maruti,2005,85000,80000,Petrol,Individual,Manual,Fourth & Above Owner,5,46.3,kmpl,19.7,796
283,Maruti,2013,480000,110000,Diesel,Individual,Manual,Third Owner,7,88.76,kmpl,20.77,1248
286,Ford,2010,170000,90000,Diesel,Individual,Manual,Second Owner,5,68.0,kmpl,20.0,1399
289,Maruti,2018,610000,52000,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,22.0,1197
292,Renault,2018,390000,13000,Petrol,Dealer,Manual,First Owner,5,53.26,kmpl,20.71,799
295,Toyota,2013,400000,70000,Diesel,Dealer,Manual,Second Owner,5,67.06,kmpl,23.59,1364
296,Hyundai,2009,215000,60000,Petrol,Dealer,Manual,First Owner,5,78.9,kmpl,20.36,1197
297,Renault,2014,570000,40000,Diesel,Dealer,Manual,First Owner,5,83.8,kmpl,20.45,1461
305,Hyundai,2010,140000,70000,Petrol,Individual,Manual,Fourth & Above Owner,5,78.9,kmpl,20.36,1197
310,Maruti,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,5,67.05,kmpl,21.79,998
314,Maruti,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,5,81.8,kmpl,22.0,1197
316,Maruti,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,5,81.8,kmpl,22.0,1197
319,Hyundai,2010,150000,106000,Petrol,Individual,Manual,Third Owner,5,78.9,kmpl,20.36,1197
322,Hyundai,2014,535000,70000,Diesel,Individual,Manual,Third Owner,5,126.32,kmpl,22.32,1582
324,Maruti,2012,300000,100000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,21.5,1248
327,Maruti,2016,240000,50000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
331,Maruti,2020,409999,35000,CNG,Individual,Manual,First Owner,5,61.7,km/kg,20.88,1196
334,Maruti,2010,150000,80000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998
335,Hyundai,2013,219000,50000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
339,Hyundai,2017,950000,45000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,21.38,1396
340,Maruti,2010,160000,80000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
343,Toyota,2013,450000,67000,Diesel,Individual,Manual,First Owner,5,67.1,kmpl,23.59,1364
347,Maruti,2013,530000,120000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,23.4,1248
348,Volkswagen,2015,520000,110000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,20.14,1498
349,Mahindra,2011,229999,170000,Diesel,Individual,Manual,Second Owner,5,64.1,kmpl,21.0,1461
354,Maruti,2014,320000,50000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
355,Ford,2015,292000,70000,Diesel,Individual,Manual,First Owner,5,68.05,kmpl,20.0,1399
358,Maruti,2014,385000,25000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
360,Maruti,2019,675000,10000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197
362,Ford,2018,950000,30000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
363,Hyundai,2015,610000,50000,Diesel,Individual,Manual,Second Owner,5,88.73,kmpl,21.19,1396
364,Hyundai,2012,525000,120000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
366,Maruti,2015,434999,50000,Petrol,Individual,Manual,Second Owner,5,83.11,kmpl,20.4,1197
371,Renault,2018,1050000,18000,Diesel,Dealer,Manual,First Owner,5,108.45,kmpl,19.6,1461
382,Ford,2013,300000,60000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.5,1498
384,Hyundai,2008,229999,50000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
393,Hyundai,2018,500000,60000,Petrol,Individual,Manual,First Owner,5,81.86,kmpl,20.14,1197
395,Maruti,2014,250000,25000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
398,Volkswagen,2011,250000,70000,Diesel,Individual,Manual,Second Owner,5,103.6,kmpl,20.54,1598
400,Toyota,2013,409999,45000,Diesel,Individual,Manual,First Owner,5,67.06,kmpl,23.59,1364
406,Maruti,2016,270000,50000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
415,Maruti,2011,165000,90000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998
420,Hyundai,2013,180000,60000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
426,Maruti,2009,125000,60000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
428,Volkswagen,2012,450000,90000,Diesel,Individual,Manual,First Owner,5,103.6,kmpl,20.54,1598
429,Maruti,2011,210000,46000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998
434,Hyundai,2017,320000,15000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
436,Maruti,2009,130000,70000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
439,Ford,2013,200000,70000,Diesel,Individual,Manual,Second Owner,5,67.0,kmpl,19.68,1399
440,Maruti,2002,140000,50000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
443,Maruti,2015,236000,60000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
444,Maruti,2015,390000,40000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
448,Hyundai,2016,850000,58000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
456,Hyundai,2017,300000,10000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
458,Hyundai,2019,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,5,68.0,kmpl,20.3,1086
459,Ford,2014,484999,54000,Diesel,Dealer,Manual,First Owner,5,98.96,kmpl,23.0,1498
462,Hyundai,2011,220000,120000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.0,1396
463,Maruti,2013,630000,120000,Diesel,Individual,Manual,Second Owner,7,88.8,kmpl,20.77,1248
466,Hyundai,2013,525000,75000,Diesel,Individual,Automatic,First Owner,5,126.3,kmpl,22.32,1582
471,Ford,2013,245000,70000,Diesel,Individual,Manual,Second Owner,5,68.1,kmpl,20.0,1399
472,Hyundai,2012,210000,76000,Petrol,Individual,Manual,Fourth & Above Owner,5,78.9,kmpl,20.36,1197
473,Maruti,2020,730000,1500,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197
475,Maruti,2015,400000,40000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
476,Hyundai,2015,280000,60000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
479,Volkswagen,2017,700000,40906,Diesel,Dealer,Manual,First Owner,5,108.62,kmpl,21.66,1498
481,Hyundai,2012,270000,43755,Petrol,Dealer,Manual,Second Owner,5,55.2,kmpl,21.1,814
486,Hyundai,2011,400000,221889,Diesel,Dealer,Manual,First Owner,5,126.32,kmpl,22.32,1582
488,Maruti,2015,500000,150546,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,22.0,1197
495,Hyundai,2011,200000,80000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
497,Renault,2016,350000,25000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
501,Maruti,2013,200000,24000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
504,Ford,2012,300000,70000,Diesel,Individual,Manual,Second Owner,5,68.0,kmpl,20.0,1399
507,Hyundai,2008,135000,80000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,19.81,1086
515,Maruti,2011,300000,70000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
519,Maruti,2014,420000,80000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
520,Hyundai,2015,235000,50000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
524,Ford,2016,650000,125000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498
525,Maruti,2016,350000,80000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
527,Hyundai,2010,270000,90000,Diesel,Individual,Manual,Third Owner,5,90.0,kmpl,23.0,1396
528,Tata,2017,450000,50000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248
536,Hyundai,2008,275000,98000,Petrol,Individual,Manual,Third Owner,5,78.9,kmpl,20.36,1197
538,Maruti,2012,215000,90000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
546,Maruti,2019,655000,25000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197
547,Ford,2019,800000,30000,Diesel,Individual,Manual,Third Owner,5,98.96,kmpl,23.0,1498
551,Volkswagen,2011,300000,72000,Diesel,Individual,Manual,Second Owner,5,103.6,kmpl,20.54,1598
557,Maruti,2015,320000,50000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,20.51,998
558,Hyundai,2010,210000,20000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
565,Renault,2016,300000,50000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
570,Hyundai,2015,290000,17000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
572,Maruti,2016,395000,50000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
573,Hyundai,2014,195000,65000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
577,Hyundai,2015,715000,50000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
583,Hyundai,2012,335000,135000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.9,1396
584,Maruti,2014,300000,35000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
591,Tata,2013,280000,80000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.02,1248
593,Hyundai,2018,500000,10000,Petrol,Individual,Manual,First Owner,5,81.86,kmpl,20.14,1197
599,Renault,2017,300000,35000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
600,Volkswagen,2014,350000,60000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,20.14,1498
602,Maruti,2015,450000,30000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
614,Hyundai,2011,180000,80000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
615,Hyundai,2013,200000,80000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
616,Maruti,2005,85000,150000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
619,Volkswagen,2010,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,5,73.9,kmpl,22.07,1199
625,Hyundai,2012,321000,100000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.0,1396
631,Tata,2012,250000,40000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.3,1248
647,Maruti,2010,165000,30000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
649,Maruti,2013,430000,86000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
651,Renault,2018,400000,60000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
653,Maruti,2015,430000,5000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
654,Maruti,2017,573000,30000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
655,Hyundai,2015,210000,40000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
658,Tata,2019,550000,15000,Petrol,Individual,Manual,First Owner,5,84.0,kmpl,20.3,1199
667,Maruti,2008,95000,120000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
668,Maruti,2009,101000,90000,Petrol,Individual,Manual,Fourth & Above Owner,8,35.0,kmpl,19.7,796
671,Hyundai,2012,244000,38000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
672,Maruti,2013,250000,90000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,20.51,998
673,Maruti,2016,660000,60000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
675,Maruti,2012,280000,156060,Diesel,Individual,Manual,First Owner,5,73.94,kmpl,23.2,1248
676,Hyundai,2017,1050000,60000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
677,Maruti,2017,525000,70000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197
682,Maruti,2015,241000,15000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
683,Maruti,2015,235000,20000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
684,Ford,2015,615000,80000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498
685,Mahindra,2014,350000,110000,Diesel,Individual,Manual,Second Owner,5,64.1,kmpl,20.8,1461
686,Maruti,2014,350000,35000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
687,Maruti,2014,380000,35000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
693,Hyundai,2015,360000,20000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
697,Hyundai,2016,425000,15000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
700,Maruti,2009,120000,58000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
703,Hyundai,2015,204999,43000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,20.3,998
705,Maruti,2013,600000,60000,Diesel,Individual,Manual,First Owner,7,88.8,kmpl,20.77,1248
711,Hyundai,2011,300000,80000,Diesel,Individual,Manual,First Owner,5,126.32,kmpl,22.32,1582
713,Maruti,2015,750000,14000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
716,Hyundai,2011,160000,57000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
719,Toyota,2015,1050000,60000,Diesel,Individual,Manual,First Owner,5,87.2,kmpl,21.43,1364
722,Tata,2010,150000,120000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,21.12,1248
728,Maruti,2015,350000,25000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
729,Renault,2019,580000,12000,Petrol,Individual,Manual,First Owner,7,72.0,kmpl,20.0,999
740,Ford,2010,180000,110000,Diesel,Individual,Manual,Second Owner,5,68.0,kmpl,20.0,1399
744,Hyundai,2010,270000,100000,Diesel,Individual,Manual,Fourth & Above Owner,5,90.0,kmpl,21.9,1396
748,Ford,2011,190000,90000,Diesel,Individual,Manual,Second Owner,5,68.0,kmpl,20.0,1399
752,Toyota,2013,409999,90000,Diesel,Individual,Manual,First Owner,5,67.04,kmpl,23.59,1364
754,Hyundai,2015,270000,43000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
755,Tata,2017,280000,80000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248
756,Tata,2012,130000,60000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.3,1248
757,Hyundai,2014,260000,18945,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
762,Hyundai,2012,320000,107825,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,21.9,1396
763,Maruti,2020,370000,15000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.05,796
766,Hyundai,2018,750000,30000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.19,1396
772,Hyundai,2019,450000,10000,Petrol,Individual,Manual,First Owner,5,68.0,kmpl,20.3,1086
773,Maruti,2012,400000,100000,Diesel,Individual,Manual,Third Owner,7,88.76,kmpl,20.77,1248
775,Maruti,2013,199000,60000,Petrol,Individual,Manual,Second Owner,5,67.1,kmpl,20.2,998
777,Hyundai,2016,540000,80000,Diesel,Individual,Manual,Third Owner,5,88.73,kmpl,21.19,1396
778,Maruti,2011,250000,85000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,21.5,1248
782,Hyundai,2012,450000,120000,Diesel,Individual,Manual,Second Owner,5,126.32,kmpl,22.32,1582
787,Hyundai,2019,1000000,15000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,22.1,1396
789,Maruti,2012,415000,108000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
792,Ford,2011,175000,90400,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
794,Maruti,2003,85000,120000,Diesel,Individual,Manual,Third Owner,5,58.0,kmpl,20.8,1527
795,Maruti,2019,675000,5000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197
796,Renault,2016,535000,50000,Diesel,Individual,Manual,First Owner,5,83.8,kmpl,19.87,1461
797,Renault,2019,675000,5000,Petrol,Individual,Manual,First Owner,7,72.0,kmpl,20.0,999
799,Maruti,2012,425000,96000,Diesel,Individual,Manual,Second Owner,7,88.8,kmpl,20.77,1248
804,Hyundai,2017,850000,63186,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
808,Maruti,2019,675000,5000,Petrol,Individual,Automatic,First Owner,5,83.1,kmpl,21.4,1197
809,Maruti,2010,150000,91500,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
811,Volkswagen,2012,350000,40000,Diesel,Individual,Manual,First Owner,5,103.6,kmpl,20.54,1598
812,Maruti,2012,300000,70000,Diesel,Individual,Manual,First Owner,5,73.94,kmpl,23.2,1248
816,Hyundai,2013,700000,120000,Diesel,Individual,Manual,First Owner,5,126.24,kmpl,22.7,1582
817,Chevrolet,2013,300000,65000,Diesel,Individual,Manual,First Owner,5,76.9,kmpl,22.1,1248
820,Hyundai,2015,650000,100000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
